SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	October 14, 2015	October 13, 2015	October 09, 2015	October 08, 2015	October 07, 2015
Euro		0.8057430000	0.8049750000	0.7987050000	0.8007760000
Japanese Yen		0.0059107900	0.0059054800	0.0059132500	0.0059262100
U.K. Pound Sterling		1.0798300000	1.0866700000	1.0889800000	1.0884300000
U.S. Dollar		0.7084080000	0.7084800000	0.7097080000	0.7107900000
Algerian Dinar			0.0067139900	0.0067004100	0.0067025500
Australian Dollar		0.5182710000	0.5160570000	0.5090740000	0.5102050000
Bahrain Dinar		1.8840600000	1.8842600000	1.8875200000	1.8904000000
Botswana Pula		0.0682905000	0.0688643000	0.0683449000	0.0686623000
Brazilian Real		0.1894850000	0.1839400000	0.1864710000	0.1843000000
Brunei Dollar		0.5049240000	0.5054070000	0.5019150000	0.4990450000
Canadian Dollar		0.5455170000	0.5472580000	0.5451740000	0.5452520000
Chilean Peso			0.0010392800	0.0010458600	0.0010433000
Chinese Yuan		0.1120350000	0.1115840000	0.1117560000	
Colombian Peso		0.0002480650	0.0002453860	0.0002454120	0.0002439440
Czech Koruna		0.0296989000	0.0296982000	0.0294668000	0.0295534000
Danish Krone		0.1079970000	0.1079060000	0.1070500000	0.1073210000
Hungarian Forint		0.0025901600	0.0025790100	0.0025625900	0.0025647300
Icelandic Krona		0.0056754400	0.0056664800	0.0056397600	0.0056327000
Indian Rupee		0.0108950000	0.0109359000	0.0108923000	0.0108921000
Indonesian Rupiah		0.0000522540	0.0000523985	0.0000513946	0.0000505361
Iranian Rial		0.0000236499		0.0000236909	0.0000237294
Israeli New Sheqel		0.1832410000	0.1844040000	0.1844360000	0.1846210000
Kazakhstani Tenge		0.0025716300	0.0025818300	0.0025901800	0.0025985800
Korean Won		0.0006174030		0.0006090870	0.0006102250
Kuwaiti Dinar		2.3472800000	2.3455700000	2.3496400000	2.3532200000
Libyan Dinar		0.5174910000	0.5174910000	0.5174910000	0.5174910000
Malaysian Ringgit		0.1688700000	0.1715240000	0.1679580000	0.1640790000
Mauritian Rupee		0.0199921000	0.0199454000	0.0199380000	0.0199589000
Mexican Peso		0.0427143000	0.0431526000	0.0428920000	0.0428802000
Nepalese Rupee		0.0068280300	0.0067998800	0.0068142900	0.0067998700
New Zealand Dollar		0.4735710000	0.4723440000	0.4696140000	0.4648570000
Norwegian Krone		0.0869287000	0.0875975000	0.0866417000	0.0864961000
Rial Omani		1.8424100000	1.8426000000	1.8457900000	1.8486100000
Pakistani Rupee		0.0067818500	0.0067845400	0.0067936000	0.0068019600
Nuevo Sol					0.2209480000
Philippine Peso		0.0154448000	0.0153600000	0.0153374000	0.0153171000
Polish Zloty		0.1904370000	0.1902370000	0.1890390000	0.1890200000
Qatar Riyal		0.1946180000	0.1946370000	0.1949750000	0.1952720000
Russian Ruble		0.0113849000	0.0115582000	0.0113928000	0.0113353000
Saudi Arabian Riyal		0.1889090000	0.1889280000	0.1892550000	0.1895440000
Singapore Dollar		0.5049240000	0.5054070000	0.5019150000	0.4990450000
South African Rand		0.0526259000	0.0534553000	0.0526877000	0.0531352000
Sri Lanka Rupee		0.0050484900	0.0050409200	0.0050477300	
Swedish Krona		0.0870997000	0.0861961000	0.0863539000	0.0860562000
Swiss Franc		0.7380020000	0.7376160000	0.7334730000	0.7347430000
Thai Baht		0.0199467000	0.0198693000	0.0197399000	0.0196993000
Trinidad And Tobago Dollar		0.1116150000	0.1116810000	0.1119310000	0.1119530000
Tunisian Dinar		0.3633790000	0.3615210000	0.3613050000	0.3617820000
U.A.E. Dirham		0.1928950000	0.1929150000	0.1932490000	0.1935440000
Peso Uruguayo				0.0244020000	0.0244149000
Bolivar Fuerte		0.1127280000	0.1127400000	0.1129350000	0.1131070000

Currency units per SDR(3)

Currency	October 14, 2015	October 13, 2015	October 09, 2015	October 08, 2015	October 07, 2015
Euro		1.241090	1.242270	1.252030	1.248790
Japanese Yen		169.182000	169.334000	169.112000	168.742000
U.K. Pound Sterling		0.926072	0.920243	0.918291	0.918755
U.S. Dollar		1.411620	1.411470	1.409030	1.406890
Algerian Dinar			148.943000	149.245000	149.197000
Australian Dollar		1.929490	1.937770	1.964350	1.960000
Bahrain Dinar		0.530769	0.530712	0.529796	0.528989
Botswana Pula		14.643300	14.521300	14.631700	14.564000
Brazilian Real		5.277460	5.436560	5.362760	5.425940
Brunei Dollar		1.980500	1.978600	1.992370	2.003830
Canadian Dollar		1.833120	1.827290	1.834280	1.834010
Chilean Peso			962.205000	956.151000	958.497000
Chinese Yuan		8.925780	8.961860	8.948070	
Colombian Peso		4,031.200000	4,075.210000	4,074.780000	4,099.300000
Czech Koruna		33.671300	33.672100	33.936500	33.837100
Danish Krone		9.259520	9.267330	9.341430	9.317840
Hungarian Forint		386.077000	387.746000	390.230000	389.905000
Icelandic Krona		176.198000	176.476000	177.313000	177.535000
Indian Rupee		91.785200	91.441900	91.808000	91.809700
Indonesian Rupiah		19,137.300000	19,084.500000	19,457.300000	19,787.800000
Iranian Rial		42,283.500000		42,210.300000	42,141.800000
Israeli New Sheqel		5.457290	5.422880	5.421930	5.416500
Kazakhstani Tenge		388.858000	387.322000	386.074000	384.826000
Korean Won		1,619.690000		1,641.800000	1,638.740000
Kuwaiti Dinar		0.426025	0.426336	0.425597	0.424950
Libyan Dinar		1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit		5.921710	5.830090	5.953870	6.094630
Mauritian Rupee		50.019800	50.136900	50.155500	50.103000
Mexican Peso		23.411400	23.173600	23.314400	23.320800
Nepalese Rupee		146.455000	147.061000	146.750000	147.062000
New Zealand Dollar		2.111620	2.117100	2.129410	2.151200
Norwegian Krone		11.503700	11.415900	11.541800	11.561200
Rial Omani		0.542767	0.542711	0.541773	0.540947
Pakistani Rupee		147.452000	147.394000	147.197000	147.016000
Nuevo Sol					4.525950
Philippine Peso		64.746700	65.104200	65.200100	65.286500
Polish Zloty		5.251080	5.256600	5.289910	5.290450
Qatar Riyal		5.138270	5.137770	5.128860	5.121060
Russian Ruble		87.835600	86.518700	87.774700	88.220000
Saudi Arabian Riyal		5.293550	5.293020	5.283880	5.275820
Singapore Dollar		1.980500	1.978600	1.992370	2.003830
South African Rand		19.002100	18.707200	18.979800	18.819900
Sri Lanka Rupee		198.079000	198.376000	198.109000	
Swedish Krona		11.481100	11.601500	11.580300	11.620300
Swiss Franc		1.355010	1.355720	1.363380	1.361020
Thai Baht		50.133600	50.328900	50.658800	50.763200
Trinidad And Tobago Dollar		8.959370	8.954070	8.934080	8.932320
Tunisian Dinar		2.751950	2.766090	2.767740	2.764100
U.A.E. Dirham		5.184170	5.183630	5.174670	5.166780
Peso Uruguayo				40.980200	40.958600
Bolivar Fuerte		8.870910	8.869970	8.854650	8.841190


(1) Exchange rates are published daily except on IMF holidays or
whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of
the dollar values, based on market exchange rates, of specified quantities of the
first four currencies shown. See SDR Valuation.The value in terms of the SDR of each of the other
currencies shown above is derived from that currency's representative exchange rate against the U.S.
dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the
Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of
domestic currency units per SDR. All figures are rounded to six significant digits. See Representative
Exchange Rates for Selected Currencies

(3) The value in terms of each national currency of the SDR is the reciprocal of the
value in terms of the SDR of each national currency, rounded to six significant digits.
